                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.91344,                  1.752,                 1.3499,                  0.367,                0.29986,                0.25602,                0.16473,                 1.6011,                 2.5843,                 2.0655,              0.0083665,              0.0083665,              0.0083665
                     35,                0.90676,                 1.7639,                 1.3452,                0.36686,                0.28353,                 0.2528,                0.15867,                 1.6128,                 2.7183,                 2.0563,               0.008317,               0.008317,               0.008317
                     36,                0.90935,                 1.7372,                 1.3424,                0.35569,                0.29266,                0.25898,                0.16207,                 1.6278,                 2.6362,                 2.0533,              0.0082675,              0.0082675,              0.0082675
                     37,                0.90779,                   1.73,                 1.3432,                0.34414,                0.28487,                0.24226,                0.15512,                  1.631,                 2.6982,                   2.04,               0.008218,               0.008218,               0.008218
                     38,                 0.9188,                 1.7356,                 1.3467,                0.35075,                0.27586,                0.23916,                0.14902,                 1.6577,                 2.7184,                  2.057,              0.0081685,              0.0081685,              0.0081685
                     39,                0.90715,                 1.6936,                 1.3308,                0.32878,                0.30883,                0.25958,                0.17095,                 1.6093,                 2.5733,                  2.042,               0.008119,               0.008119,               0.008119
                     40,                 0.9048,                 1.6713,                  1.329,                0.30537,                 0.2708,                0.23651,                0.14559,                 1.6525,                 2.7482,                  2.064,              0.0080695,              0.0080695,              0.0080695
                     41,                0.88922,                 1.6329,                 1.3187,                0.35626,                 0.3406,                0.29071,                0.18296,                  1.592,                 2.6096,                 2.0366,                0.00802,                0.00802,                0.00802
                     42,                0.88332,                 1.6414,                 1.3255,                0.32158,                0.32919,                0.28494,                0.17939,                 1.5989,                  2.592,                 2.0485,              0.0079705,              0.0079705,              0.0079705
                     43,                0.86872,                 1.5984,                 1.2991,                0.35748,                0.31461,                0.28762,                0.18415,                  1.605,                 2.5892,                 2.0049,               0.007921,               0.007921,               0.007921
                     44,                0.86827,                 1.5906,                 1.3033,                0.37132,                0.34324,                0.27697,                0.17714,                 1.6048,                 2.5863,                 2.0277,              0.0078715,              0.0078715,              0.0078715
                     45,                0.85798,                 1.5542,                 1.3063,                0.34826,                 0.3161,                0.28227,                0.17759,                 1.5722,                 2.5763,                 1.9917,               0.007822,               0.007822,               0.007822
                     46,                0.86921,                 1.5379,                 1.3023,                0.45294,                0.29499,                0.27775,                0.17253,                 1.5787,                 2.5917,                 2.0184,              0.0077725,              0.0077725,              0.0077725
                     47,                0.85279,                 1.5489,                 1.2865,                0.30137,                 0.3409,                0.27608,                0.17338,                 1.5983,                 2.6252,                 2.0549,               0.007723,               0.007723,               0.007723
                     48,                0.85158,                 1.5295,                 1.2954,                0.32838,                0.34387,                 0.2671,                0.17152,                 1.6042,                 2.6079,                 1.9962,              0.0076735,              0.0076735,              0.0076735
                     49,                0.85118,                 1.5114,                 1.2974,                0.32393,                0.34462,                0.28633,                0.18866,                 1.5848,                 2.6218,                 2.0336,               0.007624,               0.007624,               0.007624
                     50,                0.85169,                 1.4939,                 1.2881,                0.37223,                0.30899,                0.29496,                0.17868,                 1.5959,                 2.6077,                 2.0171,              0.0075745,              0.0075745,              0.0075745
                     51,                0.83901,                 1.4541,                 1.2836,                0.33674,                0.33417,                0.28319,                0.18363,                 1.5625,                 2.6307,                 1.9979,               0.007525,               0.007525,               0.007525
                     52,                  0.838,                 1.4621,                 1.2821,                0.31452,                0.37328,                0.29408,                0.18406,                 1.5775,                 2.6498,                  1.989,              0.0074755,              0.0074755,              0.0074755
                     53,                0.83024,                 1.4551,                 1.2668,                0.38876,                0.27763,                0.26878,                0.16237,                 1.6062,                 2.6535,                 2.0282,               0.007426,               0.007426,               0.007426
                     54,                0.82372,                 1.4664,                 1.2761,                 0.3527,                0.36909,                0.29961,                0.19234,                 1.5481,                 2.5475,                  1.972,              0.0073765,              0.0073765,              0.0073765
                     55,                0.82869,                  1.434,                 1.2756,                0.30654,                0.36713,                0.31497,                0.19485,                 1.5607,                 2.5553,                 2.0226,               0.007327,               0.007327,               0.007327
                     56,                0.81911,                 1.4279,                 1.2715,                0.31474,                0.35513,                0.28683,                0.18066,                 1.5824,                 2.5608,                 1.9902,              0.0072775,              0.0072775,              0.0072775
                     57,                0.82119,                  1.415,                 1.2661,                0.31406,                0.33046,                0.28149,                0.17918,                  1.591,                  2.623,                  2.001,               0.007228,               0.007228,               0.007228
                     58,                0.82365,                 1.3744,                 1.2748,                0.38877,                0.31005,                0.28775,                0.18731,                 1.5605,                  2.584,                  1.974,              0.0071785,              0.0071785,              0.0071785
                     59,                0.82064,                 1.3873,                 1.2736,                0.28407,                0.39027,                0.28792,                0.18664,                 1.5355,                 2.5576,                 1.9671,               0.007129,               0.007129,               0.007129
                     60,                0.80992,                 1.3567,                 1.2549,                0.39549,                0.32761,                0.28674,                0.18706,                 1.5939,                 2.5924,                 2.0371,              0.0070795,              0.0070795,              0.0070795
                     61,                0.82247,                  1.388,                 1.2631,                0.39056,                  0.342,                0.31184,                0.20171,                 1.5994,                 2.6662,                 2.0167,                0.00703,                0.00703,                0.00703
                     62,                0.79478,                 1.3247,                 1.2445,                0.37498,                 0.3131,                0.30313,                0.19088,                 1.5857,                 2.6608,                 2.0247,              0.0069805,              0.0069805,              0.0069805
                     63,                0.79281,                 1.3384,                 1.2467,                0.38533,                0.28731,                0.29298,                0.17619,                 1.5946,                 2.7371,                 2.0382,               0.006931,               0.006931,               0.006931
                     64,                0.82458,                 1.3605,                 1.2683,                0.34047,                0.37456,                0.32015,                0.20814,                 1.5467,                 2.5358,                 1.9754,              0.0068815,              0.0068815,              0.0068815
                     65,                0.79247,                 1.3218,                 1.2461,                0.42281,                0.33255,                0.30224,                0.19161,                 1.5735,                 2.6378,                 2.0074,               0.006832,               0.006832,               0.006832
                     66,                0.77745,                 1.2886,                  1.226,                0.41362,                0.34344,                0.31123,                0.19713,                 1.5745,                 2.6874,                 2.0169,              0.0067825,              0.0067825,              0.0067825
                     67,                0.77854,                 1.2991,                 1.2453,                0.33598,                0.39621,                0.32263,                0.20253,                  1.577,                 2.6938,                 2.0132,               0.006733,               0.006733,               0.006733
