                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    149,                0.58744,                 0.8241,                 1.1016,                0.43968,                 0.3822,                0.34677,                0.23463,                 1.5301,                 2.7563,                 1.9552,               0.002674,               0.002674,               0.002674
                    150,                0.59387,                0.82852,                 1.1062,                0.42737,                0.36865,                0.34415,                0.23621,                 1.5265,                 2.7428,                 1.9687,              0.0026245,              0.0026245,              0.0026245
                    151,                0.58485,                0.82478,                 1.0959,                0.41985,                0.38765,                0.34439,                 0.2408,                 1.5614,                 2.8434,                  2.022,               0.002575,               0.002575,               0.002575
                    152,                0.58994,                0.80897,                 1.0971,                   0.43,                0.37314,                0.33669,                0.22942,                 1.5301,                 2.7861,                 1.9926,              0.0025255,              0.0025255,              0.0025255
                    153,                0.58668,                0.80644,                  1.095,                0.47203,                0.35787,                0.35547,                0.25083,                 1.5443,                 2.7552,                 2.0173,               0.002476,               0.002476,               0.002476
                    154,                0.58028,                0.80066,                 1.0974,                0.36079,                0.39946,                0.34424,                 0.2347,                 1.5058,                 2.7819,                 1.9766,              0.0024265,              0.0024265,              0.0024265
                    155,                0.58396,                0.80931,                 1.0969,                 0.4065,                0.39006,                0.33683,                0.23692,                 1.5314,                 2.8405,                 1.9904,               0.002377,               0.002377,               0.002377
                    156,                 0.5743,                 0.8039,                 1.0891,                0.44429,                0.37851,                0.34828,                0.24736,                 1.5206,                 2.7821,                 1.9905,              0.0023275,              0.0023275,              0.0023275
                    157,                0.57568,                0.80938,                 1.1003,                0.39219,                0.41211,                0.34607,                0.24026,                 1.5564,                 2.7873,                 2.0449,               0.002278,               0.002278,               0.002278
                    158,                0.58802,                0.82055,                 1.1051,                0.37549,                0.41745,                0.34514,                0.24088,                 1.5558,                 2.8396,                 1.9889,              0.0022285,              0.0022285,              0.0022285
                    159,                0.57305,                0.79468,                 1.0966,                0.37329,                0.40141,                  0.332,                0.22925,                 1.5482,                 2.8376,                 1.9939,               0.002179,               0.002179,               0.002179
                    160,                0.56321,                0.78429,                 1.0894,                 0.4575,                 0.3731,                0.34688,                0.23669,                 1.5281,                 2.8089,                 1.9781,              0.0021295,              0.0021295,              0.0021295
                    161,                0.56227,                0.78347,                 1.0857,                0.42717,                0.39002,                0.34846,                0.23903,                 1.5283,                 2.7681,                 1.9791,                0.00208,                0.00208,                0.00208
                    162,                0.57181,                0.79753,                 1.0946,                0.41396,                0.38365,                0.34083,                0.23104,                 1.5274,                 2.8257,                 1.9709,              0.0020305,              0.0020305,              0.0020305
                    163,                0.56139,                0.77961,                 1.0825,                0.40041,                0.39017,                0.33722,                 0.2317,                  1.536,                 2.8864,                 1.9687,               0.001981,               0.001981,               0.001981
                    164,                0.56738,                0.79443,                 1.0891,                 0.4252,                0.35076,                0.32983,                0.22451,                  1.548,                 2.9564,                 2.0018,              0.0019315,              0.0019315,              0.0019315
                    165,                0.56703,                0.78641,                 1.0845,                0.44464,                0.34467,                 0.3291,                0.22581,                 1.5332,                 2.8597,                 1.9788,               0.001882,               0.001882,               0.001882
                    166,                0.55945,                0.76401,                 1.0801,                0.42213,                0.34692,                0.32461,                0.22492,                 1.5282,                 2.8603,                 1.9639,              0.0018325,              0.0018325,              0.0018325
                    167,                0.56326,                0.77516,                 1.0835,                0.42134,                0.34719,                0.33761,                 0.2296,                 1.5365,                 2.8554,                 1.9935,               0.001783,               0.001783,               0.001783
                    168,                0.55942,                0.76188,                 1.0813,                0.37468,                0.39859,                0.33903,                0.23012,                 1.5359,                 2.8244,                 1.9947,              0.0017335,              0.0017335,              0.0017335
                    169,                0.56366,                0.75933,                 1.0791,                0.38119,                0.42071,                0.33883,                0.22944,                 1.5425,                 2.8455,                 1.9987,               0.001684,               0.001684,               0.001684
                    170,                0.55386,                0.76086,                 1.0808,                0.40901,                0.39922,                0.34327,                0.23274,                 1.5464,                 2.8291,                 1.9965,              0.0016345,              0.0016345,              0.0016345
                    171,                0.54269,                0.74814,                 1.0726,                0.42358,                0.39233,                0.34498,                0.23136,                 1.5407,                 2.8161,                 1.9857,               0.001585,               0.001585,               0.001585
                    172,                0.55442,                0.76347,                 1.0801,                0.40121,                0.39122,                0.34226,                0.23043,                 1.5436,                 2.8656,                 1.9941,              0.0015355,              0.0015355,              0.0015355
                    173,                0.54713,                0.75629,                 1.0778,                0.38229,                0.41397,                0.33781,                0.22888,                 1.5238,                 2.8564,                 1.9818,               0.001486,               0.001486,               0.001486
                    174,                0.54357,                0.75441,                 1.0734,                0.39016,                0.39413,                0.34336,                0.23363,                 1.5245,                 2.8727,                  1.988,              0.0014365,              0.0014365,              0.0014365
                    175,                0.55762,                 0.7524,                 1.0793,                0.37496,                0.42564,                0.32954,                0.22481,                 1.5202,                 2.8225,                 1.9842,               0.001387,               0.001387,               0.001387
                    176,                0.54483,                0.74542,                  1.073,                0.45697,                0.36435,                 0.3368,                 0.2323,                 1.5315,                 2.8704,                 1.9879,              0.0013375,              0.0013375,              0.0013375
                    177,                0.54747,                0.75704,                 1.0763,                0.43098,                  0.374,                0.34357,                0.23055,                 1.5289,                 2.8732,                 1.9789,               0.001288,               0.001288,               0.001288
                    178,                0.54602,                0.74218,                 1.0731,                0.38197,                0.41535,                0.33797,                0.23142,                  1.527,                 2.8585,                 1.9912,              0.0012385,              0.0012385,              0.0012385
                    179,                0.53777,                0.73057,                 1.0669,                0.41532,                0.36174,                0.32425,                0.21855,                  1.544,                 2.9206,                 2.0154,               0.001189,               0.001189,               0.001189
                    180,                0.53624,                0.73215,                 1.0671,                 0.4081,                0.36172,                0.32883,                0.22406,                 1.5436,                 2.9195,                 2.0002,              0.0011395,              0.0011395,              0.0011395
                    181,                0.51848,                0.70764,                 1.0563,                0.38578,                0.40886,                0.34296,                0.23288,                 1.5339,                  2.867,                 1.9885,                0.00109,                0.00109,                0.00109
                    182,                   0.54,                0.74242,                 1.0757,                0.39075,                 0.4138,                0.34101,                0.23337,                 1.5309,                 2.8784,                 1.9815,              0.0010405,              0.0010405,              0.0010405
                    183,                0.53564,                0.71991,                 1.0652,                0.37485,                0.41865,                0.34462,                0.23558,                 1.5308,                 2.8596,                  1.999,               0.000991,               0.000991,               0.000991
                    184,                 0.5322,                0.72201,                 1.0643,                 0.3836,                0.42287,                0.34558,                0.23424,                 1.5272,                 2.8393,                 2.0038,              0.0009415,              0.0009415,              0.0009415
                    185,                0.52344,                 0.7278,                 1.0667,                0.39165,                0.39879,                0.34428,                0.23367,                 1.5286,                 2.8757,                 1.9896,               0.000892,               0.000892,               0.000892
                    186,                0.52897,                0.72204,                 1.0709,                0.38304,                0.41592,                0.33888,                0.22964,                 1.5342,                 2.8852,                 1.9904,              0.0008425,              0.0008425,              0.0008425
                    187,                0.53804,                 0.7182,                 1.0622,                0.47933,                0.33268,                0.34031,                0.23523,                 1.5309,                 2.9015,                 1.9829,               0.000793,               0.000793,               0.000793
                    188,                0.52192,                0.70184,                 1.0576,                0.45975,                 0.3554,                0.34096,                0.22796,                 1.5237,                 2.8859,                 1.9925,              0.0007435,              0.0007435,              0.0007435
                    189,                0.52266,                0.71657,                 1.0576,                0.39496,                0.42084,                0.34632,                0.23395,                 1.5246,                 2.8914,                 1.9914,               0.000694,               0.000694,               0.000694
                    190,                0.57484,                0.69129,                 1.1105,                0.44251,                0.38207,                0.33869,                0.22235,                 1.5355,                 2.8522,                 2.0085,              0.0006445,              0.0006445,              0.0006445
                    191,                0.55135,                0.63458,                 1.0943,                0.48519,                0.32471,                0.33425,                0.22239,                 1.5483,                 2.8044,                 2.0029,               0.000595,               0.000595,               0.000595
                    192,                0.53863,                0.62529,                  1.083,                0.48806,                0.33579,                0.34147,                0.22993,                 1.5335,                  2.805,                 1.9908,              0.0005455,              0.0005455,              0.0005455
                    193,                 0.5356,                0.61186,                 1.0829,                0.47333,                0.33846,                0.34183,                0.23243,                 1.5567,                 2.8473,                 2.0082,               0.000496,               0.000496,               0.000496
                    194,                 0.5169,                0.59765,                 1.0683,                0.46026,                0.33741,                0.34504,                0.23209,                 1.5475,                 2.8724,                 2.0011,              0.0004465,              0.0004465,              0.0004465
                    195,                0.51891,                0.57768,                 1.0644,                0.39436,                0.38294,                0.34578,                0.23527,                 1.5336,                  2.843,                 1.9947,               0.000397,               0.000397,               0.000397
                    196,                0.52126,                 0.5841,                 1.0648,                0.43272,                0.36117,                0.34773,                0.23298,                 1.5342,                 2.8281,                 1.9921,              0.0003475,              0.0003475,              0.0003475
                    197,                 0.5161,                0.58721,                 1.0609,                0.46037,                0.35888,                0.34796,                0.23447,                 1.5412,                 2.8513,                 1.9984,               0.000298,               0.000298,               0.000298
                    198,                0.52066,                0.57641,                 1.0662,                0.46475,                0.34804,                0.34752,                 0.2337,                 1.5499,                 2.8484,                 1.9967,              0.0002485,              0.0002485,              0.0002485
                    199,                0.50135,                  0.559,                 1.0448,                0.45838,                0.34622,                 0.3464,                0.23394,                 1.5404,                 2.8574,                 1.9887,               0.000199,               0.000199,               0.000199
